iter	Logloss
0	0.6732978186
1	0.6570734221
2	0.6430113821
3	0.6296526208
4	0.6188583472
5	0.6097425573
6	0.6015833276
7	0.5939305667
8	0.5884829644
9	0.582828438
10	0.5790882026
11	0.5750638669
12	0.5717308204
13	0.5690627341
14	0.5669717815
15	0.5648384875
16	0.5629081025
17	0.5611322826
18	0.5592800817
19	0.5583291228
20	0.556993542
21	0.5556227927
22	0.5540967563
23	0.5531761322
24	0.5523375774
25	0.5517906387
26	0.5509864011
27	0.5498633172
28	0.549560863
29	0.5484804209
30	0.5478251476
31	0.547734813
32	0.5471802414
33	0.5466805084
34	0.5465115107
35	0.5458305655
36	0.5454082919
37	0.5453772509
38	0.545159003
39	0.5444542432
40	0.5438785602
41	0.5429233476
42	0.5427068541
43	0.5424538313
44	0.5421363345
45	0.5415342734
46	0.5410103146
47	0.5408729467
48	0.5404666199
49	0.5401753729
50	0.5401132848
51	0.5395455916
52	0.5395403718
53	0.5392543735
54	0.5388012595
55	0.5386498775
56	0.5383680604
57	0.5383119897
58	0.5382849135
59	0.5381979517
60	0.5377716029
61	0.5375660478
62	0.5375068248
63	0.5373181808
64	0.5371858743
65	0.5371513771
66	0.5366456254
67	0.5365792371
68	0.5359531019
69	0.5359468931
70	0.5356177184
71	0.5352891051
72	0.5349842847
73	0.5347290803
74	0.5343510181
75	0.5343497387
76	0.5342611749
77	0.534217877
78	0.534196887
79	0.5337571372
80	0.5334695567
81	0.5331878674
82	0.5330856233
83	0.5328697754
84	0.5326992134
85	0.5326327055
86	0.5324773272
87	0.5322548928
88	0.5316692846
89	0.5315479774
90	0.5315452742
91	0.5311242009
92	0.5309891694
93	0.5304951801
94	0.53027345
95	0.5302734492
96	0.5298208906
97	0.5294042769
98	0.5292932111
99	0.5287717703
100	0.5281901783
101	0.5278308065
102	0.5274358813
103	0.5272705878
104	0.5272633505
105	0.5270178161
106	0.5267403827
107	0.5263576237
108	0.5263125781
109	0.5258245797
110	0.5257249296
111	0.5255966013
112	0.5252390858
113	0.5249643219
114	0.5245238303
115	0.5244768008
116	0.5239461144
117	0.5235036585
118	0.52328208
119	0.5227680685
120	0.5221567467
121	0.5218951152
122	0.521645266
123	0.521142369
124	0.5209837774
125	0.5202662093
126	0.5196890474
127	0.5191938433
128	0.5185990222
129	0.5182901615
130	0.5175794
131	0.5174755551
132	0.5168943664
133	0.5165200441
134	0.5156718101
135	0.5152683778
136	0.5149316029
137	0.5149026037
138	0.5145067047
139	0.5140014965
140	0.5131792142
141	0.5126692928
142	0.5122038352
143	0.51156098
144	0.5111990241
145	0.51116366
146	0.5109933679
147	0.5109659836
148	0.5109216935
149	0.5104432143
150	0.509961375
151	0.5094755291
152	0.5094573879
153	0.5094414169
154	0.5090514484
155	0.5088253779
156	0.5088158633
157	0.5084595068
158	0.5081476779
159	0.5075265254
160	0.5073158514
161	0.5070837637
162	0.5065227218
163	0.5060937166
164	0.5055042236
165	0.505209198
166	0.5049887789
167	0.5049813299
168	0.5046111234
169	0.5042627557
170	0.5037411091
171	0.5034428563
172	0.5031620916
173	0.5028192076
174	0.5028072126
175	0.5023471124
176	0.502338347
177	0.501769969
178	0.5016925603
179	0.5016294269
180	0.5011390158
181	0.500804878
182	0.5004573572
183	0.5000329788
184	0.4994455468
185	0.4994210652
186	0.4991605894
187	0.4988817576
188	0.4987542507
189	0.4984485354
190	0.4984330558
191	0.4981790738
192	0.4973465819
193	0.4970892894
194	0.4968168596
195	0.4964032256
196	0.495852931
197	0.4958347372
198	0.4954485187
199	0.4951456858
200	0.494707513
201	0.4946703415
202	0.494348678
203	0.4938836246
204	0.4934792407
205	0.4931129373
206	0.4930239188
207	0.4925219417
208	0.4924727046
209	0.4924695339
210	0.4924489062
211	0.4921993429
212	0.4918144141
213	0.491717584
214	0.4914155919
215	0.4907783342
216	0.4904400603
217	0.4899848721
218	0.4896873918
219	0.4892187673
220	0.4889318507
221	0.4884324294
222	0.4880576217
223	0.4877150187
224	0.487586174
225	0.487576492
226	0.4875375738
227	0.4872748323
228	0.4872113724
229	0.4871842453
230	0.4867512288
231	0.4865582208
232	0.4858460277
233	0.4855651781
234	0.48517926
235	0.4851089663
236	0.4849183287
237	0.4846381145
238	0.4841491494
239	0.483925598
240	0.4836973695
241	0.4834711708
242	0.4833953508
243	0.483079969
244	0.4826426007
245	0.482077446
246	0.4820246837
247	0.4817170378
248	0.481288764
249	0.4809348366
250	0.4806285813
251	0.4802526123
252	0.4797789036
253	0.4795315826
254	0.4792307564
255	0.4789565185
256	0.4787391428
257	0.4785259629
258	0.4783079568
259	0.4782163388
260	0.4782099175
261	0.4780290212
262	0.4780267086
263	0.478025268
264	0.4778523931
265	0.4773735161
266	0.4772302852
267	0.4769499778
268	0.4769385801
269	0.4765616591
270	0.4762525886
271	0.4759212009
272	0.475743494
273	0.4754508482
274	0.4752363138
275	0.4748321192
276	0.4743558808
277	0.4741186817
278	0.473886184
279	0.4737053626
280	0.4732503821
281	0.4730884548
282	0.4729152469
283	0.4728662867
284	0.4725514817
285	0.4724049492
286	0.4720138575
287	0.4716041715
288	0.4714199576
289	0.4711714811
290	0.4710489382
291	0.4708762596
292	0.4706527471
293	0.4703890982
294	0.4702588209
295	0.4697616807
296	0.4694837992
297	0.4694701578
298	0.4694415181
299	0.4692813597
300	0.4687289438
301	0.4684128575
302	0.4681663072
303	0.4678878029
304	0.4677056401
305	0.4674872142
306	0.4673000019
307	0.4672342957
308	0.4670369883
309	0.4668503592
310	0.4664887156
